Position,Athlete,Time,Sex,Year
3,Helena Kirop,2:25:01,F,2008
4,Rose Cheruiyot,2:26:25,F,2008
5,Gulnara Vygovskaya,2:30:03,F,2008
6,Shuru Deriba,2:31:20,F,2008
7,Edyta Lewandowska,2:33:00,F,2008
8,Evelyne Kimuria,2:35:53,F,2008
9,Daniela Cîrlan,2:36:18,F,2008
10,Živilė Balčiūnaitė,2:36:40,F,2008
1,Haile Gebrselassie,2:06:08,M,2009
2,Francis Kiprop,2:07:04,M,2009
3,Negari Terfa,2:07:41,M,2009
4,Dereje Debele Tulu,2:09:41,M,2009
5,Alfred Kering,2:09:52,M,2009
6,Girma Assefa,2:09:58,M,2009
7,Eshetu Wendimu,2:12:28,M,2009
8,Atsushi Fujita,2:12:54,M,2009
9,Kensuke Takahashi,2:13:00,M,2009
10,Cuthbert Nyasango,2:13:19,M,2009
1,Atsede Habtamu,2:24:47,F,2009
2,Silviya Skvortsova,2:26:24,F,2009
3,Mamitu Daska,2:26:38,F,2009
4,Rosaria Console,2:26:45,F,2009
5,Genet Getaneh,2:27:09,F,2009
6,Leah Jemeli Malot,2:29:17,F,2009
7,Tatyana Aryasova,2:32:17,F,2009
8,Jacqueline Nytepi Kiplimo,2:34:16,F,2009
9,Maja Neuenschwander,2:35:44,F,2009
10,Hayley Haining,2:36:08,F,2009
1,Patrick Makau,2:05:08,M,2010
2,Geoffrey Mutai,2:05:10,M,2010
3,Bazu Worku,2:05:25,M,2010
4,Yemane Tsegay,2:07:52,M,2010
5,Eliud Kiptanui,2:08:05,M,2010
6,Bernard Kipyego,2:08:50,M,2010
7,Tadese Abraham,2:09:24,M,2010
8,Gilbert Yegon,2:10:34,M,2010
9,Masakazu Fujiwara,2:12:00,M,2010
10,Ser-Od Bat-Ochir,2:12:42,M,2010
1,Aberu Kebede,2:23:58,F,2010
2,Bezunesh Bekele,2:24:58,F,2010
3,Tomo Morimoto,2:26:10,F,2010
4,Sabrina Mockenhaupt,2:26:21,F,2010
5,Olena Burkovska,2:28:31,F,2010
6,Adriana Pertea,2:30:15,F,2010
7,Adriana Aparecida da Silva,2:32:30,F,2010
8,Tanith Maxwell,2:32:33,F,2010
9,Lisa Stublic,2:33:42,F,2010
10,Agnieszka Gortel,2:34:47,F,2010
1,Patrick Makau Musyoki,2:03.38,M,2011
2,Stephen Kwelio Chemlany,2:07.55,M,2011
3,Edwin Kimaiyo,2:09.50,M,2011
4,Felix Limo,2:10.38,M,2011
5,Scott Overall,2:10.55,M,2011
6,Ricardo Serrano,2:13.32,M,2011
7,Pedro Nimo,2:13.34,M,2011
8,Simon Munyutu,2:14.20,M,2011
9,Driss El Himer,2:14.46,M,2011
10,Hendrick Ramaala,2:16.00,M,2011
1,Florence Kiplagat,2:19.44,F,2011
2,Irina Mikitenko,2:22.18,F,2011
3,Paula Radcliffe,2:23.46,F,2011
4,Atsede Habtamu,2:24.25,F,2011
5,Tatyana Petrova,2:25.01,F,2011
6,Anna Incerti,2:25.32,F,2011
7,Rosaria Console,2:26.10,F,2011
8,Valeria Straneo,2:26.33,F,2011
9,Eri Okubo,2:28.49,F,2011
10,Miranda Boonstra,2:29.23,F,2011
1,Geoffrey Mutai,2:04:15,M,2012
2,Dennis Kimetto,2:04:16,M,2012
3,Geoffrey Kipsang,2:06:12,M,2012
4,Nicholas Kamakya,2:08:28,M,2012
5,Josphat Keiyo,2:08:41,M,2012
6,Josphat Jepkopol,2:08:44,M,2012
7,Jonathan Maiyo,2:09:19,M,2012
8,Eliud Kiptanui,2:09:59,M,2012
9,Felix Keny,2:10:22,M,2012
10,Masakazu Fujiwara,2:11:31,M,2012
1,Aberu Kebede,2:20:30,F,2012
2,Tirfi Tsegaye,2:21:19,F,2012
3,Olena Shurkhno,2:23:32,F,2012
4,Flomena Chepchirchir,2:24:56,F,2012
5,Fate Tola,2:25:14,F,2012
6,Alevtina Biktimirova,2:28:45,F,2012
7,Caroline Chepkwony,2:30:34,F,2012
8,Anna Hahner,2:30:37,F,2012
9,Sonia Samuels,2:30:56,F,2012
10,Degefa Biruktayit,2:33:27,F,2012
1,Wilson Kipsang,2:03:23,M,2013
2,Eliud Kipchoge,2:04:05,M,2013
3,Geoffrey Kipsang,2:06:26,M,2013
4,Stephen Kwelio Chemlany,2:07:44,M,2013
5,Maswai Kiptanui,2:08:52,M,2013
6,Marílson Gomes dos Santos,2:09:24,M,2013
7,Suehiro Ishikawa,2:10:24,M,2013
8,Koji Kobayashi,2:11:31,M,2013
9,Rui Silva,2:12:16,M,2013
10,Sisay Jisa,2:12:17,M,2013
1,Florence Kiplagat,2:21:13,F,2013
2,Sharon Cherop,2:22:28,F,2013
3,Irina Mikitenko,2:24:54,F,2013
4,Helah Kiprop,2:28:02,F,2013
5,Desiree Davila,2:29:15,F,2013
6,Vianey de la Rosa,2:32:35,F,2013
7,Eri Hayakawa,2:32:35,F,2013
8,Nina Stöcker,2:37:46,F,2013
9,Lizzi Lee,2:38:09,F,2013
10,Maria Yolanda Gutierrez,2:38:18,F,2013
1,Dennis Kimetto,2:02:57,M,2014
2,Emmanuel Mutai,2:03:13,M,2014
3,Abera Kuma,2:05:56,M,2014
4,Geoffrey Kamworor,2:06:39,M,2014
5,Eliud Kiptanui,2:07:28,M,2014
6,Frankline Chepkwony,2:07:35,M,2014
7,Levy Matebo,2:08:33,M,2014
8,Maswai Kiptanui,2:10:18,M,2014
9,Tsegaye Kebede,2:10:27,M,2014
10,Kazuki Tamaru,2:11:25,M,2014
1,Tirfi Tsegaye,2:20:18,F,2014
2,Feyse Tadese,2:20:27,F,2014
3,Shalane Flanagan,2:21:14,F,2014
4,Tadelech Bekele,2:23:02,F,2014
5,Abebech Afework,2:25:02,F,2014
6,Kayoko Fukushi,2:26:25,F,2014
7,Anna Hahner,2:26:44,F,2014
8,Ines Melchor,2:26:48,F,2014
9,Rene Kalmer,2:29:27,F,2014
10,Adriana da Silva,2:38:05,F,2014
1,Eliud Kipchoge,2:04:00,M,2015
2,Eliud Kiptanui,2:05:21,M,2015
3,Feyisa Lilesa,2:06:57,M,2015
4,Emmanuel Mutai,2:07:46,M,2015
5,Geoffrey Mutai,2:09:29,M,2015
6,Reid Coolsaet,2:10:28,M,2015
7,Koen Naert,2:10:31,M,2015
8,Yared Shegumo,2:10:47,M,2015
9,Koji Gokaya,2:10:58,M,2015
10,Scott Overall,2:11:24,M,2015
1,Gladys Cherono,2:19:25,F,2015
2,Aberu Kebede,2:20:48,F,2015
3,Meseret Hailu,2:24:33,F,2015
4,Tadelech Bekele,2:25:01,F,2015
5,Andrea Deelstra,2:26:46,F,2015
6,Maja Neuenschwander,2:26:49,F,2015
7,Lisa Nemec,2:27:57,F,2015
8,Tomomi Tanaka,2:28:00,F,2015
9,Sonia Samuels,2:28:04,F,2015
10,Fate Tola,2:28:24,F,2015
1,Kenenisa Bekele,2:03:03,M,2016
2,Wilson Kipsang,2:03:13,M,2016
3,Evans Chebet,2:05:31,M,2016
4,Sisay Lemma,2:06:56,M,2016
5,Eliud Kiptanui,2:07:47,M,2016
6,Geoffrey Ronoh,2:09:29,M,2016
7,Alfers Lagat,2:09:46,M,2016
8,Yohanes Gebregergish,2:09:48,M,2016
9,Jacob Kendagor,2:10:01,M,2016
10,Suleiman Simotwo,2:10:22,M,2016
1,Aberu Kebede,2:20:45,F,2016
2,Birhane Dibaba,2:23:58,F,2016
3,Ruti Aga,2:24:41,F,2016
4,Reia Iwade,2:28:16,F,2016
5,Katharina Heinig,2:28:34,F,2016
6,Janet Ronoh,2:29:35,F,2016
7,Dolinin Elena,2:35:59,F,2016
8,Cassie Fien,2:37:28,F,2016
9,Claire McCarthy,2:38:00,F,2016
10,Gladys Ganiel,2:39:10,F,2016
1,Eliud Kipchoge,2:03:32,M,2017
2,Guye Adola,2:03:46,M,2017
3,Mosinet Geremew,2:06:09,M,2017
4,Felix Kandie,2:06:13,M,2017
