Position,Athlete,Time,Sex,Year
9,Javier Guerra,2:11:01,M,2016
10,Yuta Shimoda,2:11:34,M,2016
1,Helah Kiprop,2:21:27,F,2016
2,Amane Gobena,2:21:51,F,2016
3,Edna Kiplagat,2:22:36,F,2016
4,Aberu Kebede,2:23:01,F,2016
5,Birhane Dibaba,2:23:16,F,2016
6,Shure Demise,2:25:04,F,2016
7,Ashete Bekere,2:25:50,F,2016
8,Maja Neuenschwander,2:27:36,F,2016
9,Isabellah Andersson,2:30:02,F,2016
10,Yukiko Okuno,2:31:17,F,2016
1,Wilson Kipsang,2:03:58,M,2017
2,Gideon Kipketer,2:05:51,M,2017
3,Dickson Chumba,2:06:25,M,2017
4,Evans Chebet,2:06:42,M,2017
5,Alfers Lagat,2:07:39,M,2017
6,Bernard Kipyego,2:08:10,M,2017
7,Yohanes Ghebregergis,2:08:14,M,2017
8,Hiroto Inoue,2:08:22,M,2017
9,Tsegaye Kebede,2:08:45,M,2017
10,Hiroyuki Yamamoto,2:09:12,M,2017
1,Sarah Chepchirchir,2:19:47,F,2017
2,Birhane Dibaba,2:21:19,F,2017
3,Amane Gobena,2:23:09,F,2017
4,Ayaka Fujimoto,2:27:08,F,2017
5,Marta Lema,2:27:37,F,2017
6,Sara Hall,2:28:26,F,2017
7,Madoka Nakano,2:33:00,F,2017
8,Kotomi Takayama,2:34:44,F,2017
9,Hiroko Yoshimoto,2:35:11,F,2017
10,Mitsuko Ino,2:39:33,F,2017
1,Dickson Chumba,2:05:30,M,2018
2,Yuta Shitara,2:06:11,M,2018
3,Amos Kipruto,2:06:33,M,2018
4,Gideon Kipketer,2:06:47,M,2018
5,Hiroto Inoue,2:06:54,M,2018
6,Feyisa Lilesa,2:07:30,M,2018
7,Ryo Kiname,2:08:08,M,2018
8,Chihiro Miyawaki,2:08:45,M,2018
9,Kenji Yamamoto,2:08:48,M,2018
10,Yuki Sato,2:08:58,M,2018
1,Birhane Dibaba,2:19:51,F,2018
2,Ruti Aga,2:21:19,F,2018
3,Amy Cragg,2:21:42,F,2018
4,Shure Demise,2:22:07,F,2018
5,Helah Kiprop,2:28:58,F,2018
6,Hiroko Yoshitomi,2:30:16,F,2018
7,Madoka Nakano,2:31:41,F,2018
8,Mao Uesugi,2:31:49,F,2018
9,Marie Imada,2:32:00,F,2018
10,Zhang Meixia,2:33:02,F,2018
1,Birhanu Legese,2:04:48,M,2019
2,Bedan Karoki,2:06:48,M,2019
3,Dickson Chumba,2:08:44,M,2019
4,Simon Kariuki,2:09:41,M,2019
5,Kensuke Horio,2:10:21,M,2019
6,Masato Imai,2:10:30,M,2019
7,Takuya Fujikawa,2:10:35,M,2019
8,Daichi Kamino,2:11:05,M,2019
9,Ryu Takaku,2:11:49,M,2019
10,Tadashi Isshiki,2:12:21,M,2019
1,Ruti Aga,2:20:40,F,2019
2,Helen Tola,2:21:01,F,2019
3,Shure Demise,2:21:05,F,2019
4,Florence Kiplagat,2:21:50,F,2019
5,Bedatu Hirpa,2:23:43,F,2019
6,Ababel Yeshaneh,2:24:02,F,2019
7,Mao Ichiyama,2:24:33,F,2019
8,Joan Chelimo,2:26:24,F,2019
9,Rose Chelimo,2:30:35,F,2019
10,Ruth Chebitok,2:31:19,F,2019
1,Eliud Kipchoge,2:02:40,M,2022
2,Amos Kipruto,2:03:13,M,2022
3,Tamirat Tola,2:04:14,M,2022
4,Kengo Suzuki,2:05:28,M,2022
5,Shura Kitata,2:06:12,M,2022
6,Laban Korir,2:06:37,M,2022
7,Kenya Sonata,2:07:23,M,2022
8,Shun Yuzawa,2:07:31,M,2022
9,Kento Kikutani,2:07:55,M,2022
10,Michael Githae,2:07:55,M,2022
1,Brigid Kosgei,2:16:02,F,2022
2,Ashete Bekere,2:17:58,F,2022
3,Gotytom Gebreslase,2:18:18,F,2022
4,Angela Tanui,2:18:42,F,2022
5,Hiwot Gebrekidan,2:19:10,F,2022
6,Mao Ichiyama,2:21:02,F,2022
7,Hitomi Niiya,2:21:17,F,2022
8,Sara Hall,2:22:56,F,2022
9,Helen Bekele Tola,2:24:33,F,2022
10,Kaori Morita,2:27:38,F,2022
1,Deso Gelmisa,2:05:22,M,2023
2,Mohamed Esa,2:05:22,M,2023
3,Tsegaye Getachew,2:05:25,M,2023
4,Titus Kipruto,2:05:32,M,2023
5,Cameron Levins,2:05:36,M,2023
6,Tadu Abate,2:05:38,M,2023
7,Ichitaka Yamashita,2:05:51,M,2023
8,Kenya Sonota,2:05:59,M,2023
9,Suguru Osako,2:06:13,M,2023
10,Hiroto Inoue,2:07:09,M,2023
1,Rosemary Wanjiru,2:16:28,F,2023
2,Tsehay Gemechu,2:16:56,F,2023
3,Ashete Bekere,2:19:11,F,2023
4,Workenesh Edesa,2:20:13,F,2023
5,Betsy Saina,2:21:40,F,2023
6,Mizuki Matsuda,2:21:44,F,2023
7,Ai Hosoda,2:22:08,F,2023
8,Lindsay Flanagan,2:26:08,F,2023
9,Kaori Morita,2:26:31,F,2023
10,Yukari Abe,2:28:20,F,2023
1,Benson Kipruto,2:02:16,M,2024
2,Timothy Kiplagat,2:02:55,M,2024
3,Vincent Kipkemoi,2:04:18,M,2024
4,Hailemaryam Kiros,2:05:43,M,2024
5,Tsegaye Getachew,2:06:25,M,2024
6,Bethwel Kibet,2:06:26,M,2024
7,Haimro Alame,2:06:27,M,2024
8,Simon Kariuki,2:06:29,M,2024
9,Yusuke Nishiyama,2:06:31,M,2024
10,Eliud Kipchoge,2:06:50,M,2024
1,Sutume Asefa Kebede,2:15:55,F,2024
2,Rosemary Wanjiru,2:16:14,F,2024
3,Amane Beriso,2:16:58,F,2024
4,Sifan Hassan,2:18:05,F,2024
5,Betsy Saina,2:19:17,F,2024
6,Hitomi Niiya,2:21:50,F,2024
7,Meseret Abebayahau,2:23:08,F,2024
8,Khishigsaikhan Galbadrakh,2:26:32,F,2024
9,Tigist Abayechew,2:28:53,F,2024
10,Ayumi Morita,2:31:38,F,2024
1,Tadese Takele,2:03:23,M,2025
2,Deresa Geleta,2:03:51,M,2025
3,Vincent Kipkemoi,2:04:00,M,2025
4,Titus Kipruto,2:05:34,M,2025
5,Mulugeta Asefa Uma,2:05:46,M,2025
6,Geoffrey Toroitich,2:05:46,M,2025
7,Benson Kipruto,2:05:46,M,2025
8,Suldan Hassan,2:05:57,M,2025
9,Joshua Cheptegei,2:05:59,M,2025
10,Tsubasa Ichiyama,2:06:00,M,2025
1,Sutume Asefa Kebede,2:16:31,F,2025
2,Winfridah Moraa Moseti,2:16:56,F,2025
3,Hawi Feysa,2:17:00,F,2025
4,Magdalyne Masai,2:19:28,F,2025
5,Rosemary Wanjiru,2:19:57,F,2025
6,Desi Jisa Mokonin,2:20:07,F,2025
7,Gotytom Gebreslase,2:20:25,F,2025
8,Degitu Azimeraw,2:20:26,F,2025
9,Zhang Deshun,2:20:53,F,2025
10,Jessica Stenson,2:22:56,F,2025
