Position,Athlete,Time,Sex,Year
4,Lemi Berhanu Hayle,2:11:52,M,2017
5,Tadesse Abraham,2:12:01,M,2017
6,Michel Butter,2:12:39,M,2017
7,Abdihakem Abdirahman,2:12:48,M,2017
8,Koen Naert,2:13:21,M,2017
9,Fikadu Girma,2:13:58,M,2017
10,Shadrack Kiptoo Biwott,2:14:57,M,2017
11,Meb Keflezighi,2:15:29,M,2017
12,Jared Ward,2:18:39,M,2017
13,Guteta Senbeto,2:20:29,M,2017
14,Birhanu Dare,2:21:30,M,2017
15,Brendan Martin,2:22:36,M,2017
16,Harbert Okuti,2:22:46,M,2017
17,John Metui,2:23:40,M,2017
18,Girma Segni,2:23:51,M,2017
19,Francesco Puppi,2:25:35,M,2017
20,Peter Le Grice,2:27:11,M,2017
1,Lelisa Desisa,2:05:59,M,2018
2,Shura Kitata,2:06:01,M,2018
3,Geoffrey Kamworor,2:06:26,M,2018
4,Tamirat Tola,2:08:30,M,2018
5,Daniel Wanjiru,2:10:21,M,2018
6,Jared Ward,2:12:24,M,2018
7,Scott Fauble,2:12:28,M,2018
8,Festus Talam,2:12:40,M,2018
9,Shadrack Biwott,2:12:52,M,2018
10,Chris Derrick,2:13:08,M,2018
11,Juan Luis Barrios,2:13:55,M,2018
12,Tadesse Yae Dabi,2:13:57,M,2018
13,Tim Ritchie,2:15:22,M,2018
14,Ryan Vail,2:15:31,M,2018
15,Jonny Mellor,2:16:09,M,2018
16,Harbert Okuti,2:16:51,M,2018
17,Scott Smith,2:17:12,M,2018
18,Bernard Lagat,2:17:20,M,2018
19,Girma Bekele Gebre,2:18:18,M,2018
20,Birhanu Dare Kemal,2:18:20,M,2018
1,Geoffrey Kamworor,2:08:13,M,2019
2,Albert Korir,2:08:36,M,2019
3,Girma Bekele Gebre,2:08:38,M,2019
4,Tamirat Tola,2:09:20,M,2019
5,Shura Kitata,2:10:39,M,2019
6,Jared Ward,2:10:45,M,2019
7,Stephen Sambu,2:11:11,M,2019
